datetime,Unnamed: 0,open,high,low,close,volume,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_05,ema_10,ema_30,ATR,signals,trade_type
2019-12-08,91,7487.19,7559.39,7376.0,7508.2,84380.338,7482.695000000001,7504.165,7559.39,7376.0,41.71479808192044,-246.3461728262173,-303.91270237244237,57.56652954622507,7445.752305783477,7445.174170343278,7780.538139766917,402.862036062927,0,Hold
2019-12-09,92,7507.87,7676.48,7269.05,7337.49,136440.176,7447.7225,7497.695,7676.48,7269.05,40.75767575730759,-229.51822854566672,-289.0338076070873,59.51557906142057,7446.409037188985,7445.637503008136,7759.066163007762,403.1883192012893,0,Hold
2019-12-10,93,7338.2,7403.71,7152.0,7220.98,126662.794,7278.7225,7422.68,7422.68,7152.0,36.41012930686912,-227.19983084955857,-276.66701225558154,49.46718140602297,7390.513524792657,7415.28932064302,7728.076249265327,395.5121892583401,0,Hold
2019-12-11,94,7220.92,7267.0,7117.74,7205.77,97320.727,7202.8575,7279.59,7279.59,7117.74,34.6246311064032,-228.846159368567,-267.10284167817866,38.256682309611676,7327.9615165284395,7376.665353253379,7694.191168667565,378.82203288274434,0,Hold
2019-12-12,95,7206.78,7295.12,7080.0,7194.77,140594.105,7194.1675000000005,7213.345,7295.12,7080.0,34.41643811051867,-228.22130382797695,-259.32653410813833,31.10523028016138,7283.363511018961,7343.483925389128,7661.931577140626,367.12903053397685,0,Hold
2019-12-13,96,7194.08,7298.0,7190.0,7252.98,80178.833,7233.765,7200.775,7298.0,7190.0,36.2960996590186,-221.97215713574315,-251.8556587136593,29.88350157791615,7266.830674012641,7323.535029863831,7634.307927002522,348.6198140672642,0,Hold
2019-12-14,97,7252.98,7266.14,7007.86,7061.34,97837.512,7147.08,7223.53,7266.14,7007.86,33.9988422773595,-221.4615475377159,-245.7768364784706,24.315288940754726,7226.913782675094,7291.452297161317,7602.873867195908,342.16697020531683,0,Hold
2019-12-15,98,7060.79,7196.0,7004.77,7115.0,87933.233,7094.14,7157.16,7196.0,7004.77,32.64013377275559,-222.76085286646685,-241.1736397560699,18.41278688960304,7182.65585511673,7255.577334041077,7570.052327376818,331.3857580477942,0,Hold
2019-12-16,99,7115.45,7147.34,6831.0,6887.54,117597.89,6995.3325,7087.895,7147.34,6831.0,30.213243332707933,-229.12232168111314,-238.76337614107857,9.641054459965432,7120.214736744488,7208.260091488153,7532.973628836378,330.3110610443803,0,Hold
2019-12-17,100,6887.48,6940.0,6550.0,6618.96,166411.289,6749.11,7001.495,7001.495,6550.0,25.187446861561227,-251.13697876744664,-241.2380966663522,-9.898882101094443,6996.513157829659,7124.778256672125,7482.401781814677,338.9670566840674,0,Hold
