datetime,Unnamed: 0,open,high,low,close,volume,signals,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_10,ema_30,ema_200,ema_20,ATR,ADX,ADX_Pos,ADX_Neg,PSAR,trade_type
2019-10-30,52,9415.02,9418.65,8975.72,9165.3,98464.858,0,9243.6725,9315.400000000001,9418.65,8975.72,61.89799827134065,150.9501882214554,-50.60999061280067,201.56017883425608,8827.071419763211,8618.748214181944,,8606.537452446955,609.8593320769115,47.38493577346821,26.878067259482723,14.788008406094036,7687.874162802689,
2019-10-31,53,9163.4,9438.64,8933.0,9150.0,98836.044,0,9171.26,9290.16,9438.64,8933.0,60.277355471788006,173.35552882353113,-5.816886725534317,179.17241554906545,8889.651161624446,8654.394135847626,,8660.320552213912,602.4150940714179,45.95519417891288,25.265857157102666,14.407761601678084,7796.6983962905815,
2019-11-01,54,9149.88,9280.0,9050.27,9231.01,87256.949,0,9177.789999999999,9156.7,9280.0,9050.27,60.378102048411755,189.45492070466207,33.237474760504966,156.2174459441571,8942.040041329092,8688.161610954232,,8709.603356764968,575.7947302091737,44.62757698396865,24.54548616945439,13.996972710160737,7901.169660438958,
2019-11-02,55,9231.7,9375.0,9194.98,9287.8,56602.055,0,9272.369999999999,9190.445,9375.0,9190.445,61.88591828752373,207.45421724167863,68.0808232567397,139.37339398493893,9002.100033814711,8725.852474763637,,8763.200179930209,548.7529637656614,43.56024969982612,25.15224862233324,13.63751054938084,8001.4620740213995,
2019-11-03,56,9288.96,9366.69,9073.0,9197.88,75612.722,0,9231.6325,9259.75,9366.69,9073.0,60.812459302713165,215.94236447447838,97.65313150028746,118.28923297419092,9043.833209484763,8758.483444133726,,8807.812781841618,530.5341806395428,42.19185377758335,24.157274229551515,14.679942183490027,8097.742791060544,
2019-11-04,57,9197.86,9550.0,9126.01,9395.46,90433.357,0,9317.3325,9243.419999999998,9550.0,9126.01,62.294202291169135,226.9682078679889,123.51614677382776,103.45206109416114,9093.560353214805,8794.53822193155,,8856.338469285274,522.9238820224326,41.267208770494946,25.262576430438926,13.829411614558559,8190.172279418122,
2019-11-05,58,9395.47,9457.13,9164.33,9313.2,113738.226,0,9332.532500000001,9296.66,9457.13,9164.33,62.56457020168814,234.23269248834004,145.65945591673022,88.57323657160981,9137.009834448478,8829.247530194032,,8901.690281734296,506.48646187797306,40.40860983534143,24.219005368594203,13.258132837707299,8278.904588241398,
2019-11-06,59,9313.1,9450.0,9259.48,9343.6,73767.911,0,9341.545,9354.335,9450.0,9259.48,62.73519112303827,237.97386770384765,164.12233827415372,73.85152942969393,9174.198046366935,8862.298979858933,,8943.58120728341,483.9174288866893,39.611339395556016,23.537668312669734,12.885150667002105,8364.087604711742,
2019-11-07,60,9344.29,9381.93,9091.2,9219.64,77389.569,0,9259.265,9328.35,9381.93,9091.2,60.04454426800611,231.62938825498532,177.62374827032005,54.005639984665265,9189.66476520931,8887.909690835777,,8973.646330399275,470.1183268233543,38.239171509588864,22.49756797443322,14.873500424224378,8445.863300523271,
2019-11-08,61,9221.63,9259.3,8669.85,8775.03,151851.16,0,8981.4525,9281.965,9281.965,8669.85,51.94385722092757,201.85731018815386,182.47046065388682,19.386849534267043,9151.807989716708,8893.944710781856,,8974.389775123153,480.2609463359718,35.62514541221152,20.44873693863398,19.78772979015702,8524.36796850234,
2019-11-09,62,8775.6,8878.0,8727.0,8811.15,66846.392,0,8797.9375,8998.33,8998.33,8727.0,47.395162536608076,161.5918665723966,178.2947418375888,-16.702875265192176,9087.467900677306,8887.750697183028,,8957.584796539995,465.3373073119738,33.19783546464684,19.59680421287759,18.963335861708078,8599.732449762247,
2019-11-10,63,8811.3,9187.0,8760.0,9041.31,91099.197,0,8949.9025,8793.375,9187.0,8760.0,51.20563600852541,140.32592793814365,170.70097905769978,-30.375051119556133,9062.456009645068,8891.760490913157,,8956.853149250472,462.5989282182614,31.469776022895548,21.218427473814124,17.71267997138364,8669.85,
2019-11-11,64,9041.31,9072.91,8611.11,8728.93,113373.762,-1,8863.565,8926.305,9072.91,8611.11,49.0325432841985,115.17810219406238,159.59640368497233,-44.418301490909954,9026.294007891418,8889.941426983276,,8947.96856360757,462.5418619169569,29.399474028059768,19.704842522090914,18.74905246764538,10408.48,exit
2019-11-12,65,8729.89,8889.06,8552.12,8817.0,107520.546,0,8747.0175,8885.119999999999,8889.06,8552.12,46.18327467582452,84.86558228409558,144.650239404797,-59.78465712070141,8975.51646100207,8880.720528468226,,8928.830367073517,453.57030035145993,27.304132580361415,18.6590022753619,18.683160324518685,10372.5326,
2019-11-13,66,8817.94,8838.0,8712.0,8774.76,58585.811,0,8785.675000000001,8773.445,8838.0,8712.0,47.27763253819619,63.23311702946012,128.36681492972963,-65.13369790026951,8940.999831728965,8874.58855888963,,8915.196522590324,430.1724217549271,25.358458378927228,18.268522571482652,18.292175061567104,10299.716096,
2019-11-14,67,8774.78,8798.06,8581.39,8642.25,87099.995,0,8699.119999999999,8796.35,8798.06,8581.39,45.06783798697067,38.659326678623984,110.4253172795085,-71.76599060088452,8897.021680505515,8863.268006703203,,8894.61780615315,414.9222487724323,23.980484246918984,17.58694789495918,19.85870867568425,10229.81225216,
2019-11-15,68,8642.47,8780.0,8380.0,8473.27,145602.497,0,8568.935000000001,8708.515,8780.0,8380.0,41.89592387285067,8.580666698013374,90.0563871632095,-81.47572046519612,8837.36955677724,8844.278780464289,,8863.600396043326,413.8563738601157,23.30940336630142,16.372520763402935,21.964043587333027,10162.7045620736,
2019-11-16,69,8473.3,8540.54,8435.0,8491.06,48657.04,0,8484.975,8557.869999999999,8557.869999999999,8435.0,39.94340198133145,-21.78068418933617,67.68897289270036,-89.46965708203653,8773.297819181376,8821.097891402076,,8827.54083451539,393.86199001296467,22.6862568342994,15.974749133260119,21.4304254873157,10055.742288349185,
2019-11-17,70,8491.18,8631.0,8355.78,8504.04,72152.266,0,8495.5,8482.18,8631.0,8355.78,40.31888940388563,-44.48025329834854,45.25512765449058,-89.73538095283912,8722.789124784762,8800.09157582775,,8795.917897894877,385.38756215489576,22.350008265779316,15.159707721835817,21.80562184594168,9955.197751048234,
2019-11-18,71,8504.13,8504.71,8050.0,8183.26,123477.142,0,8310.525,8497.61,8504.71,8050.0,36.05263022213583,-76.51375897294929,20.901350329002604,-97.4151093019519,8647.832011187533,8768.506635451766,,8749.690002857269,390.33916485811744,22.868169405491415,13.898057599734665,25.587452271243784,9827.244330964375,
2019-11-19,72,8183.3,8212.87,8000.0,8131.7,110854.03,0,8131.967500000001,8343.695,8343.695,8000.0,32.479878663360026,-114.98318639353056,-6.275557015504031,-108.70762937802652,8554.03846369889,8727.439594454878,,8690.859288299434,387.00743879682335,23.47176438036673,13.016281296087648,24.887029251168368,9649.519897867938,
2019-11-20,73,8131.12,8230.0,8037.5,8094.05,87352.38,0,8123.1675,8157.5,8230.0,8037.5,32.30994035985887,-144.51469578123942,-33.92338476865111,-110.5913110125883,8475.69828848091,8688.454298038434,,8636.793403699488,373.114050311336,24.032245428465238,12.536521799997628,23.969732802119818,9451.577510123785,
2019-11-21,74,8094.57,8131.51,7432.0,7621.9,180289.189,0,7819.995000000001,8112.585,8131.51,7432.0,27.05754827287616,-190.18972797068272,-65.17665340905744,-125.01307456162529,8356.479508757107,8632.424665906923,,8559.003079537631,396.42804671766913,25.802933303400017,10.956203334638143,31.859759460749075,9277.388208908931,
2019-11-22,75,7621.89,7765.03,6762.73,7262.72,371213.951,0,7353.092500000001,7858.235,7858.235,6762.73,21.311637473906927,-261.0533887690144,-104.35200048104883,-156.70138828796559,8174.045507164906,8549.887106816155,,8444.154452915,446.3621148092642,28.297981536041338,9.035264468472601,36.985080855929304,9019.03385966168,
2019-11-23,76,7261.89,7345.84,7073.38,7305.99,139643.311,0,7246.775,7442.305,7442.305,7073.38,20.256756209548215,-322.07955163073893,-147.89751071098686,-174.18204091975207,8005.450869498559,8465.815357989308,,8330.118314542142,440.8308923228882,30.614812037779707,8.49509491594679,34.77394308062791,8658.025242115811,
2019-11-24,77,7306.19,7324.92,6855.91,6900.86,183676.078,0,7096.97,7283.9400000000005,7324.92,6855.91,18.841580621071785,-378.17190656079947,-193.9523898809494,-184.21951667985007,7840.27252958973,8377.502754248062,,8212.67561791908,442.8436857283962,32.99232572369786,7.8523788222519455,35.65110934480234,8354.778003377281,
2019-11-25,78,6899.77,7386.29,6510.19,7102.03,333987.914,0,6974.57,7103.525,7386.29,6510.19,17.750419601084772,-427.5733594939147,-240.67658380354248,-186.89677569037224,7682.872069664323,8286.990963651413,,8094.760797164881,473.7905653192251,35.51281905744744,6.815133328140491,36.15440267591475,8100.050322836916,
2019-11-26,79,7103.34,7340.06,7011.9,7150.0,193962.094,0,7151.325000000001,7000.9,7340.06,7000.9,24.546031526669395,-447.30545669799176,-282.00235838243236,-165.3030983155594,7586.227147907173,8213.722191802935,,8004.909768863464,466.0548106535662,37.85327715307205,6.433344161500114,34.129004403657575,7813.875464726271,
2019-11-27,80,7149.97,7669.2,6850.0,7506.77,297842.994,0,7293.985,7126.67,7669.2,6850.0,29.601631124869627,-446.28729403226225,-314.85934551239836,-131.4279485198639,7533.092211924051,8154.384308460812,,7937.202648019324,491.27946703545433,38.60675781912845,10.452874593793734,30.063718708652694,6510.19,
2019-11-28,81,7506.78,7643.0,7356.0,7415.79,175000.609,0,7480.3925,7328.370000000001,7643.0,7328.370000000001,35.667166119010645,-425.533579191223,-336.9941922481633,-88.5393869430597,7523.510446119678,8110.900965979469,,7893.696919636532,481.1177193900648,39.30641843760939,9.91120702677347,28.505817939598575,6533.370199999999,
2019-11-29,82,7417.0,7850.0,7394.57,7736.66,185819.186,0,7599.5575,7461.285,7850.0,7394.57,39.26949552631843,-394.91812079221927,-348.57897795697454,-46.33914283524473,7537.337183188827,8077.9110649485365,,7865.68364157591,479.28288229077447,39.1152815657592,12.32363024967847,26.570887408451245,6556.086796,
2019-11-30,83,7737.23,7800.0,7444.18,7542.93,141966.392,0,7631.085,7576.83,7800.0,7444.18,40.22318937375437,-363.9161448865352,-351.64641134288667,-12.269733543648556,7554.382240790858,8049.083576887341,,7843.340913806776,470.4641049842906,38.93779732761259,11.657831394700487,25.13536345537279,6607.84332416,
2019-12-01,84,7541.08,7541.08,7222.29,7387.38,196291.252,0,7422.9575,7640.08,7640.08,7222.29,36.18358944548619,-352.0824185229758,-351.7336127789045,-0.34880574407128506,7530.486833374338,8008.688346120417,,7803.304398206132,466.7016689139841,39.179281259191214,10.912352842236658,26.92427253458371,6657.5295911936,
2019-12-02,85,7388.0,7416.75,7137.74,7291.0,143966.953,0,7308.3724999999995,7464.23,7464.23,7137.74,34.15012256327897,-347.9393289957088,-350.97475602226535,3.0354270265565333,7490.102409124458,7963.506678628778,,7756.168026948405,456.68654970584237,39.54988365385657,10.355080621735056,26.87179431832627,6705.228407545856,
2019-12-03,86,7291.74,7404.42,7231.35,7290.86,84699.47,0,7304.592500000001,7339.5,7404.42,7231.35,34.082076935801396,-341.0297365855058,-348.98575213491347,7.9560155494076525,7456.373334738193,7920.99608645918,,7713.160833905699,436.42822472685356,39.89401444890297,10.06174887964428,26.110588246791224,6751.019271244021,
2019-12-04,87,7290.85,7800.0,7070.0,7191.0,274879.481,0,7337.9625,7291.299999999999,7800.0,7070.0,35.307569040861154,-329.06786519192246,-345.0021747463153,15.934309554392826,7434.844092058522,7883.38101636504,,7677.427659248014,457.397637246364,38.54703231189786,15.092467475200543,23.133858535157454,6794.978500394261,
2019-12-05,88,7189.42,7480.0,7142.54,7384.99,176315.108,0,7299.237499999999,7240.925,7480.0,7142.54,34.50585462292888,-319.03514127738435,-339.80876805252916,20.773626775144805,7410.188348047881,7845.694337889877,,7641.409548843441,448.83066315733805,37.29626318467883,14.281893489610468,21.89140404945246,6837.17936037849,
2019-12-06,89,7384.66,7602.44,7295.73,7522.1,136218.707,0,7451.2325,7287.205,7602.44,7287.205,40.241401566488044,-295.41405967736137,-330.9298263774956,35.515766700134236,7417.6509211300845,7820.245187058272,,7623.29744895359,439.28811578895676,35.66078244066413,15.540780399762152,20.769255987605657,6877.69218596335,
