datetime,close,high,low,open,signals
2020-12-22 02:00:00,610.59,613.47,605.01,605.24,1.0
2020-12-22 04:00:00,607.18,616.0,605.0,610.59,1.0
2020-12-22 06:00:00,596.19,608.99,592.5,607.18,1.0
2020-12-22 08:00:00,605.46,605.79,588.41,596.2,1.0
2020-12-22 10:00:00,612.05,613.3,600.58,605.47,1.0
2020-12-22 12:00:00,618.31,619.45,608.91,612.06,1.0
2020-12-22 14:00:00,627.11,634.67,615.37,618.31,1.0
2020-12-22 16:00:00,628.38,634.42,622.33,627.09,1.0
2020-12-22 18:00:00,626.7,630.99,624.04,628.43,1.0
2020-12-22 20:00:00,623.29,628.66,622.0,626.7,1.0
2020-12-22 22:00:00,637.2,638.7,619.0,623.29,1.0
2020-12-23 00:00:00,628.16,639.54,626.25,637.2,1.0
2020-12-23 02:00:00,623.87,629.94,621.38,628.17,1.0
2020-12-23 04:00:00,615.73,625.45,609.63,623.84,1.0
2020-12-23 06:00:00,616.29,618.85,608.4,615.75,1.0
2020-12-23 08:00:00,613.51,621.42,608.91,616.3,1.0
2020-12-23 10:00:00,602.25,616.0,592.41,613.51,1.0
2020-12-23 12:00:00,608.44,623.81,598.51,602.26,1.0
2020-12-23 14:00:00,605.88,615.45,603.12,608.49,1.0
2020-12-23 16:00:00,609.98,612.46,595.31,605.88,1.0
2020-12-23 18:00:00,610.59,613.58,608.59,610.03,1.0
2020-12-23 20:00:00,597.7,613.3,596.15,610.6,1.0
2020-12-23 22:00:00,585.34,600.74,546.81,597.7,1.0
2020-12-24 00:00:00,586.17,586.8,565.2,585.49,1.0
2020-12-24 02:00:00,575.31,586.9,571.03,586.22,1.0
2020-12-24 04:00:00,579.88,582.99,570.29,575.33,1.0
2020-12-24 06:00:00,580.47,583.29,570.02,579.87,1.0
2020-12-24 08:00:00,585.21,585.46,578.08,580.5,1.0
2020-12-24 10:00:00,582.46,585.73,573.58,585.21,1.0
2020-12-24 12:00:00,597.1,598.0,577.5,582.47,1.0
2020-12-24 14:00:00,592.37,599.79,586.88,597.1,1.0
2020-12-24 16:00:00,594.13,595.0,585.26,592.46,1.0
2020-12-24 18:00:00,594.36,597.4,591.83,594.13,1.0
2020-12-24 20:00:00,605.6,610.9,592.11,594.34,1.0
2020-12-24 22:00:00,612.31,615.42,604.41,605.6,1.0
2020-12-25 00:00:00,611.9,616.29,608.04,612.31,1.0
2020-12-25 02:00:00,606.18,612.91,604.5,611.89,1.0
2020-12-25 04:00:00,609.59,610.73,605.02,606.19,1.0
2020-12-25 06:00:00,613.04,616.44,607.76,609.6,1.0
2020-12-25 08:00:00,623.7,625.65,613.0,613.06,1.0
2020-12-25 10:00:00,629.81,634.96,619.0,623.7,1.0
2020-12-25 12:00:00,628.76,632.57,625.6,629.78,1.0
2020-12-25 14:00:00,613.86,630.1,612.71,628.76,1.0
2020-12-25 16:00:00,615.91,624.53,608.24,613.83,1.0
2020-12-25 18:00:00,619.64,622.28,613.76,615.91,1.0
2020-12-27 20:00:00,679.3,706.73,660.51,706.7,1.0
2021-01-01 16:00:00,729.02,738.43,727.5,736.11,-1.0
2021-01-02 12:00:00,772.35,774.81,729.31,730.47,1.0
2021-01-02 14:00:00,769.57,772.85,755.0,772.43,1.0
2021-01-02 16:00:00,780.11,786.9,765.49,769.57,1.0
2021-01-02 18:00:00,785.41,788.71,772.75,780.03,1.0
2021-01-02 20:00:00,769.73,786.2,754.69,785.4,1.0
2021-01-03 12:00:00,876.67,891.82,827.62,830.97,1.0
2021-01-11 00:00:00,1210.92,1264.5,1190.45,1257.95,-1.0
2021-01-11 16:00:00,998.38,1023.75,915.2,977.59,1.0
2021-01-11 18:00:00,984.78,1025.0,944.76,998.17,1.0
2021-01-11 20:00:00,1032.22,1045.39,960.1,984.78,1.0
2021-01-11 22:00:00,1086.94,1093.62,1022.76,1031.99,1.0
2021-01-12 00:00:00,1055.55,1091.4,1037.46,1086.84,1.0
2021-01-12 02:00:00,1089.73,1090.99,1044.59,1055.56,1.0
2021-01-12 04:00:00,1130.76,1131.0,1076.87,1089.59,1.0
2021-01-12 06:00:00,1140.54,1153.13,1123.33,1130.89,1.0
2021-01-12 08:00:00,1116.95,1145.66,1107.17,1140.53,1.0
2021-01-12 10:00:00,1101.08,1124.28,1069.12,1116.91,1.0
2021-01-12 12:00:00,1027.09,1113.21,1026.0,1101.07,1.0
2021-01-12 14:00:00,1053.97,1067.98,1007.0,1027.09,1.0
2021-01-12 16:00:00,1119.16,1128.1,1053.54,1053.99,1.0
2021-01-12 18:00:00,1084.08,1124.0,1062.0,1119.12,1.0
2021-01-12 20:00:00,1078.98,1088.13,1052.5,1084.22,1.0
2021-01-12 22:00:00,1050.82,1089.51,1025.0,1078.71,1.0
2021-01-13 00:00:00,1031.37,1051.2,987.21,1050.67,1.0
2021-01-13 02:00:00,1047.43,1060.37,1015.68,1031.37,1.0
2021-01-13 04:00:00,1036.7,1050.0,1011.02,1047.64,1.0
2021-01-13 06:00:00,1076.75,1081.5,1032.71,1036.68,1.0
2021-01-13 08:00:00,1061.25,1078.5,1054.24,1076.81,1.0
2021-01-13 10:00:00,1063.0,1098.7,1057.64,1061.33,1.0
2021-01-13 12:00:00,1067.74,1072.0,1045.54,1062.98,1.0
2021-01-13 14:00:00,1072.27,1085.19,1050.0,1067.74,1.0
2021-01-13 16:00:00,1075.28,1081.72,1062.25,1072.28,1.0
2021-01-13 18:00:00,1103.63,1111.51,1072.58,1075.28,1.0
2021-01-13 20:00:00,1128.67,1129.81,1092.8,1103.64,1.0
2021-01-13 22:00:00,1130.4,1138.63,1110.0,1128.67,1.0
2021-01-14 00:00:00,1116.5,1150.0,1116.0,1130.4,1.0
2021-01-14 02:00:00,1098.24,1123.33,1092.81,1116.5,1.0
2021-01-14 04:00:00,1110.29,1116.96,1087.68,1098.2,1.0
2021-01-14 06:00:00,1150.1,1164.66,1107.0,1110.29,1.0
2021-01-14 08:00:00,1148.44,1174.24,1143.67,1149.75,1.0
2021-01-14 10:00:00,1167.93,1178.0,1147.44,1148.47,1.0
2021-01-14 12:00:00,1194.09,1198.0,1148.68,1168.05,1.0
2021-01-14 14:00:00,1213.75,1222.2,1187.88,1194.12,1.0
2021-01-14 16:00:00,1221.37,1249.32,1213.34,1213.74,1.0
2021-01-21 20:00:00,1172.44,1236.04,1171.2,1232.03,1.0
2021-01-21 22:00:00,1111.23,1173.8,1083.4,1172.38,1.0
2021-01-22 00:00:00,1124.72,1135.73,1041.13,1111.82,1.0
2021-01-22 02:00:00,1161.06,1165.0,1115.65,1124.7,1.0
2021-01-22 04:00:00,1175.26,1188.89,1149.0,1161.07,1.0
2021-01-22 06:00:00,1144.37,1179.38,1133.01,1175.28,1.0
2021-01-22 08:00:00,1172.23,1183.67,1113.76,1144.45,1.0
2021-01-22 10:00:00,1198.39,1211.55,1159.0,1172.02,1.0
2021-01-22 12:00:00,1219.81,1229.9,1194.22,1198.39,1.0
2021-01-22 14:00:00,1233.92,1242.0,1219.11,1219.74,1.0
2021-01-22 16:00:00,1234.88,1255.0,1216.0,1233.81,1.0
2021-01-22 18:00:00,1268.24,1273.66,1224.96,1234.84,1.0
2021-01-22 20:00:00,1244.55,1274.52,1240.86,1268.42,1.0
2021-01-22 22:00:00,1234.55,1258.28,1219.1,1244.56,1.0
2021-01-23 00:00:00,1233.81,1242.89,1207.56,1234.54,1.0
2021-01-23 02:00:00,1232.76,1244.08,1211.89,1233.94,1.0
2021-01-23 04:00:00,1264.88,1267.75,1230.0,1232.76,1.0
2021-01-23 06:00:00,1260.37,1270.0,1248.83,1265.1,1.0
2021-01-23 08:00:00,1257.64,1274.0,1250.0,1260.38,1.0
2021-01-23 10:00:00,1220.74,1260.4,1213.14,1257.64,1.0
2021-01-23 12:00:00,1233.14,1240.83,1197.0,1220.78,1.0
2021-01-23 14:00:00,1231.16,1240.67,1216.8,1233.14,1.0
2021-01-23 16:00:00,1254.6,1261.65,1225.05,1231.26,1.0
2021-01-23 18:00:00,1259.75,1266.54,1244.97,1254.75,1.0
2021-01-23 20:00:00,1248.86,1261.83,1230.47,1259.71,1.0
2021-01-23 22:00:00,1235.66,1251.24,1225.35,1248.81,1.0
2021-01-24 00:00:00,1238.35,1249.5,1221.51,1235.65,1.0
2021-01-24 02:00:00,1294.62,1295.35,1235.73,1238.34,1.0
2021-01-24 04:00:00,1328.0,1336.18,1290.5,1294.62,1.0
2021-01-24 06:00:00,1317.49,1334.5,1308.0,1328.0,1.0
2021-01-24 08:00:00,1342.7,1349.33,1312.07,1317.6,1.0
2021-01-24 10:00:00,1344.89,1352.32,1327.2,1342.54,1.0
2021-01-27 10:00:00,1249.95,1302.48,1247.29,1271.33,1.0
2021-01-27 12:00:00,1236.0,1279.89,1235.0,1249.97,1.0
2021-01-27 14:00:00,1281.74,1287.35,1206.0,1236.14,1.0
